Raw2,Budgets,h1,h2,Page,h1desc,h2desc,Budgets Mn,Generic Administrations,Maintenances,Projects,Communities,Floods,District Offices,Human Resources,Revenues,Trainings,Public Relations,Welfares,Waste Water Treatments,Hygienic Foods,Non-smoking Zones,Cleanings,Disease Controls,Law Enforcements,Green Zones,Traffic Managements,Chained Tags,Budget Ranks h1desc,Budget Ranks h2desc,Budget Ranks Raw2
01.ผลผลิตบริหารงานบุคคล  ,60943200,0,0,3.0,(04)สํานักงานคณะกรรมการขาราชการกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,60.9432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,69,1,97
02.ผลผลิตรายจายบุคลากร  ,101326400,0,0,3.0,(04)สํานักงานคณะกรรมการขาราชการกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,101.3264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,69,1,2
03.ผลผลิตอํานวยการและบริหารสํานัก  ,27790900,0,0,3.0,(04)สํานักงานคณะกรรมการขาราชการกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,27.7909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,69,1,42
โครงการมอบรางวัลคุณภาพการใหบริการ ของกรุงเทพมหานคร  ,571800,0,0,3.0,(04)สํานักงานคณะกรรมการขาราชการกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,0.5718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,69,3,373
01.ผลผลิตบริหารงานบุคคล  ,15699300,0,0,3.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,15.6993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,15,1,97
02.ผลผลิตพัฒนาบุคลากร  ,75475220,0,0,3.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,75.47522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,15,1,100
03.ผลผลิตสวัสดิการกรุงเทพมหานคร  ,7886800,0,0,3.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,7.8868,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,All Categories___________Welfares_________,15,1,270
04.ผลผลิตรายจายบุคลากร  ,405362000,0,0,3.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,405.362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,15,1,44
05.ผลผลิตบริหารงานกลาง  ,118824050,0,0,3.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,118.82405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,79
06.ผลผลิตนิติการ  ,11598500,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,11.5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,248
07.ผลผลิตตรวจสอบควบคุมภายใน  ,2409470,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,2.40947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,319
08.ผลผลิตตรวจราชการกรุงเทพมหานคร  ,3914800,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,3.9148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,302
09.ผลผลิตขอมูลขาวสารประชาสัมพันธ  ,17636950,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,17.63695,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,All Categories__________Public Relations__________,15,1,216
10.ผลผลิตความสัมพันธระหวางเมือง  ,22508750,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,22.50875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,204
11.ผลผลิตปกครองทองที่  ,5251800,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,5.2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,287
12.ผลผลิตทะเบียนและบัตรประจําตัวประชาชน  ,4499910,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,4.49991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,15,1,292
01.โครงการพัฒนาทรัพยากรบุคคลของ กรุงเทพมหานครใหมีสมรรถนะ  ,32804800,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,32.8048,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects____Human Resources_____________,15,3,144
02.โครงการพัฒนาศักยภาพของนักบริหาร และเตรียมความพรอมการเปนผูนํา ในการปฏิบัติภารกิจของเมืองในอนาคต  ,17478100,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,17.4781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,15,3,219
03.โครงการเสริมสรางวัฒนธรรมองคกร และนวัตกรรมการพัฒนาทรัพยากรบุคคล  ,7355900,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,7.3559,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects____Human Resources_____________,15,3,274
04.โครงการพัฒนาสมรรถนะผูตรวจสอบภายใน เพื่อบรรลุผลสําเร็จตามแผนการตรวจสอบ ประจําปและแผนการตรวจสอบระยะยาว  ,114200,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,0.1142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,15,3,402
05.โครงการเสริมสรางความรู เขาใจ และสงเสริมการมีสวนรวมของประชาชน  ,15560000,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,15.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,15,3,229
06.โครงการสรางการรับรูตามยุทธศาสตร การพัฒนากรุงเทพมหานคร  ,32285000,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,32.285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,15,3,150
07.โครงการสงเสริมศักยภาพและเศรษฐกิจ ของเมืองในระดับนานาชาติ  ,1500000,0,0,4.0,(05)สํานักปลัดกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,15,3,343
01.ผลผลิตพัฒนาบุคลากร  ,3375400,0,0,4.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,3.3754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,7,1,309
02.ผลผลิตรายจายบุคลากร  ,2933212300,0,0,4.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,2933.2123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,7,1,2
03.ผลผลิตอํานวยการและบริหารสํานัก  ,75616500,0,0,4.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,75.6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,42
04.ผลผลิตโรงพยาบาลกลาง  ,215670900,0,0,4.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,215.6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,62
05.ผลผลิตโรงพยาบาลตากสิน  ,179737300,0,0,4.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,179.7373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,70
06.ผลผลิตโรงพยาบาลเจริญกรุงประชารักษ  ,216902800,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,216.9028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,61
07.ผลผลิตโรงพยาบาลหลวงพอทวีศักดิ์ ชุตินฺธโร อุทิศ  ,69594300,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,69.5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,107
08.ผลผลิตโรงพยาบาลเวชการุณยรัศมิ์  ,74885700,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,74.8857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,103
09.ผลผลิตโรงพยาบาลลาดกระบัง กรุงเทพมหานคร  ,41224400,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,41.2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,125
10.ผลผลิตโรงพยาบาลราชพิพัฒน  ,94715100,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,94.7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,92
11.ผลผลิตโรงพยาบาลสิรินธร  ,180280900,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,180.2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,69
12.ผลผลิตโรงพยาบาลคลองสามวา  ,13730100,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,13.7301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,236
13.ผลผลิตโรงพยาบาลผูสูงอายุบางขุนเทียน  ,38338600,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,38.3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,133
14.ผลผลิตโรงพยาบาลบางนากรุงเทพมหานคร  ,9770300,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,9.7703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,261
15.ผลผลิตบริการทางการแพทยฉุกเฉิน  ,75309700,0,0,5.0,(06)สํานักการแพทย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,75.3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,7,1,101
01.โครงการจางเหมาบริหารจัดการเวชภัณฑกลาง สํานักการแพทย  ,30000000,0,0,5.0,(06)สํานักการแพทย รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,7,3,161
02.โครงการกอสรางศูนยการแพทย โรงพยาบาลกลางและอาคารสํานักการแพทย  ,3000000,0,0,5.0,(06)สํานักการแพทย รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,7,3,312
03.โครงการกอสรางโรงพยาบาลบางนา กรุงเทพมหานคร  ,3000000,0,0,5.0,(06)สํานักการแพทย รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,7,3,312
01.ผลผลิตสวัสดิการกรุงเทพมหานคร  ,2170800,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,2.1708,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,All Categories___________Welfares_________,10,1,323
02.ผลผลิตรายจายบุคลากร  ,1616321600,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1616.3216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,10,1,2
03.ผลผลิตอํานวยการและบริหารสํานัก  ,317900500,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,317.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,42
04.ผลผลิตอนามัยแม เด็ก สตรีและผูสูงอายุ  ,5234500,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,5.2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,288
05.ผลผลิตสงเสริมสุขภาพเชิงรุกและปองกัน โรคไมติดตอ  ,10000,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,408
06.ผลผลิตระบาดวิทยาโรคติดตอ  ,1673300,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,339
07.ผลผลิตสรางเสริมภูมิคุมกันโรคและปองกัน โรคติดตอ  ,8125000,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,8.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,268
08.ผลผลิตควบคุมพาหะและแหลงนําโรค  ,7748800,0,0,5.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,7.7488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,272
09.ผลผลิตปองกันแกไขปญหาเอดส และโรคติดตอทางเพศสัมพันธ  ,1860000,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,332
10.ผลผลิตควบคุมวัณโรค  ,1906300,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.9063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,330
11.ผลผลิตสุขาภิบาลอาหาร  ,1098400,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.0984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,354
12.ผลผลิตควบคุมการฆาและจําหนายเนื้อสัตว  ,4325200,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,4.3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,295
13.ผลผลิตอนามัยสิ่งแวดลอม  ,1254380,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.25438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,349
14.ผลผลิตควบคุมสารเคมีและวัสดุอันตราย  ,1245120,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.24512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,351
15.ผลผลิตควบคุมโรคในสัตว  ,11850500,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,11.8505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,246
16.ผลผลิตศูนยควบคุมสุนัข  ,40573400,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,40.5734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,128
17.ผลผลิตบริการสัตวแพทยสาธารณสุข  ,3916300,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,3.9163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,301
18.ผลผลิตบําบัดรักษาปฐมภูมิและฟนฟูสุขภาพ  ,1422500,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.4225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,344
19.ผลผลิตดูแลผูปวยที่บาน  ,3973600,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,3.9736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,300
20.ผลผลิตสงเสริมทันตสุขภาพและปองกัน โรคในชองปาก  ,1830100,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,1.8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,All Categories________________Disease Controls____,10,1,333
21.ผลผลิตบริการบําบัดรักษาทางทันตกรรม  ,12491400,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,12.4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,242
22.ผลผลิตปองกันการติดยาและสารเสพติด  ,715600,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,0.7156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,367
23.ผลผลิตบําบัดรักษาผูติดยาและสารเสพติด  ,733400,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,0.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,366
24.ผลผลิตฟนฟูสมรรถภาพผูติดยาและสารเสพติด  ,3668300,0,0,6.0,(07)สํานักอนามัย รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,3.6683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,10,1,307
